Syntax version=4																
Thu Apr 25 23:25:47 2019																
Starting process (3801787 clocks per sec)																
																
LogRawData=false																
VarHeader=1																
D:		Ax	Ay	Az	Gx	Gy	Gz	Mx	My	Mz	TbY	TbP	TbR	ts		
D:	time(ms)	"(0x20000404,6)"	"(0x20000408,6)"	"(0x2000040c,6)"	"(0x20000410,6)"	"(0x20000414,6)"	"(0x20000418,6)"	"(0x2000041c,6)"	"(0x20000420,6)"	"(0x20000424,6)"	"(0x200002f4,6)"	"(0x200002ec,6)"	"(0x200002f0,6)"			
D:	1120.35	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	7.99		
D:	1128.39	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	8.04		
D:	1136.38	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	7.99		
D:	1144.37	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	7.99		
D:	1152.38	-0.190893	-14.431547	0.763574	-0.347826	-26.295652	1.391304	64	-27	-141	-22.873665	-0.756778	-86.878265	8.01		
D:	1160.36	1.374433	-10.957286	1.832577	2.504348	-19.965218	3.33913	37	-34	-154	-42.580494	7.052636	-78.191856	7.98		
D:	1168.46	2.481615	-10.995464	2.099828	4.521739	-20.034782	3.826087	37	-34	-154	-42.580494	12.499643	-73.529732	8.1		
D:	1176.43	2.481615	-10.995464	2.328901	4.66087	-19.826086	4.243478	17	-48	-159	-70.497551	12.946296	-72.363159	7.97		
D:	1184.38	2.557973	-10.880929	2.328901	4.66087	-19.826086	4.243478	17	-48	-159	-70.497551	9.642161	-77.701149	7.95		
D:	1192.38	1.603505	-9.353781	1.259897	2.921739	-17.043478	2.295652	17	-48	-159	-70.497551	9.642161	-77.701149	8		
D:	1200.36	1.603505	-9.353781	1.259897	2.921739	-17.043478	2.295652	17	-48	-159	-70.497551	9.642161	-77.701149	7.98		
D:	1208.37	1.603505	-9.353781	1.259897	2.921739	-17.043478	2.295652	17	-48	-159	-70.497551	9.642161	-77.701149	8.01		
D:	1216.36	1.603505	-9.353781	1.259897	2.921739	-17.043478	2.295652	17	-48	-159	-70.497551	9.642161	-77.701149	7.99		
D:	1224.37	1.603505	-9.353781	1.259897	2.921739	-17.043478	2.295652	17	-48	-159	-70.497551	9.642161	-77.701149	8.01		
D:	1232.39	1.603505	-9.353781	1.259897	2.921739	-17.043478	2.295652	17	-48	-159	-70.497551	9.642161	-77.701149	8.02		
D:	1240.38	1.603505	-9.353781	1.259897	2.921739	-17.043478	2.295652	17	-48	-159	-70.497551	9.642161	-77.701149	7.99		
D:	1248.37	1.603505	-9.353781	1.259897	2.921739	-17.043478	2.295652	17	-48	-159	-70.497551	9.642161	-77.701149	7.99		
D:	1256.42	1.603505	-9.353781	1.259897	2.921739	-17.043478	2.295652	17	-48	-159	-70.497551	9.642161	-77.701149	8.05		
D:	1264.35	1.603505	-9.353781	1.259897	2.921739	-17.043478	2.295652	17	-48	-159	-70.497551	9.642161	-77.701149	7.93		
D:	1272.44	1.603505	-9.353781	1.259897	2.921739	-17.043478	2.295652	17	-48	-159	-70.497551	9.642161	-77.701149	8.09		
D:	1280.35	1.603505	-9.353781	1.259897	2.921739	-17.043478	2.295652	17	-48	-159	-70.497551	9.642161	-77.701149	7.91		
D:	1288.34	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	7.99		
D:	1296.43	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8.09		
D:	1304.37	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	7.94		
D:	1312.38	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8.01		
D:	1320.38	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8		
D:	1328.35	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	7.97		
D:	1336.34	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	7.99		
D:	1344.37	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8.03		
D:	1352.37	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8		
D:	1360.38	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8.01		
D:	1368.37	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	7.99		
D:	1376.37	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8		
D:	1384.37	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8		
D:	1392.39	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8.02		
D:	1400.37	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	7.98		
D:	1408.41	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8.04		
D:	1416.34	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	7.93		
D:	1424.35	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8.01		
D:	1432.45	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8.1		
D:	1440.98	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8.53		
D:	1448.37	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	7.39		
D:	1456.36	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	7.99		
D:	1464.36	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	8		
D:	1472.35	4.237835	-7.139416	-4.466908	7.721739	-13.008696	-8.139131	-30	-52	-155	-119.981636	26.711817	-49.22422	7.99		
